TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,19-08-2024
Start Time:,20:02:44
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,69
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,0.000
,Time of Minimum:,20:02:45
,Date of Minimum:,19-08-2024
,Maximum:,0.001
,Time of Maximum:,20:03:01
,Date of Maximum:,19-08-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
19-08-2024,20:39:16,0.087
19-08-2024,20:39:17,0.086
19-08-2024,20:39:18,0.083
19-08-2024,20:39:19,0.074
19-08-2024,20:39:20,0.071
19-08-2024,20:39:21,0.075
19-08-2024,20:39:22,0.077
19-08-2024,20:39:23,0.071
19-08-2024,20:39:24,0.069
19-08-2024,20:39:25,0.066
19-08-2024,20:39:26,0.065
19-08-2024,20:39:27,0.061
19-08-2024,20:39:28,0.060
19-08-2024,20:39:29,0.063
19-08-2024,20:39:30,0.069
19-08-2024,20:39:31,0.073
19-08-2024,20:39:32,0.072
19-08-2024,20:39:33,0.068
19-08-2024,20:39:34,0.069
19-08-2024,20:39:35,0.068
19-08-2024,20:39:36,0.068
19-08-2024,20:39:37,0.069
19-08-2024,20:39:38,0.081
19-08-2024,20:39:39,0.088
19-08-2024,20:39:40,0.088
19-08-2024,20:39:41,0.104
19-08-2024,20:39:42,0.108
19-08-2024,20:39:43,0.105
19-08-2024,20:39:44,0.112
19-08-2024,20:39:45,0.111
19-08-2024,20:39:46,0.103
19-08-2024,20:39:47,0.099
19-08-2024,20:39:48,0.093
19-08-2024,20:39:49,0.095
19-08-2024,20:39:50,0.093
19-08-2024,20:39:51,0.209
19-08-2024,20:39:52,0.484
19-08-2024,20:39:53,0.445
19-08-2024,20:39:54,0.121
19-08-2024,20:39:55,0.078
19-08-2024,20:39:56,0.074
19-08-2024,20:39:57,0.071
19-08-2024,20:39:58,0.066
19-08-2024,20:39:59,0.066
19-08-2024,20:40:00,0.067
19-08-2024,20:40:01,0.069
19-08-2024,20:40:02,0.069
19-08-2024,20:40:03,0.066
19-08-2024,20:40:04,0.068
19-08-2024,20:40:05,0.072
19-08-2024,20:40:06,0.070
19-08-2024,20:40:07,0.067
19-08-2024,20:40:08,0.070
19-08-2024,20:40:09,0.071
19-08-2024,20:40:10,0.070
19-08-2024,20:40:11,0.071
19-08-2024,20:40:12,0.071
19-08-2024,20:40:13,0.069
19-08-2024,20:40:14,0.070
19-08-2024,20:40:15,0.072
19-08-2024,20:40:16,0.072
19-08-2024,20:40:17,0.069
19-08-2024,20:40:18,0.070
19-08-2024,20:40:19,0.071
19-08-2024,20:40:20,0.068
19-08-2024,20:40:21,0.070
19-08-2024,20:40:22,0.069
19-08-2024,20:40:23,0.070
19-08-2024,20:40:24,0.071
19-08-2024,20:40:25,0.073
19-08-2024,20:40:26,0.077
19-08-2024,20:40:27,0.094
19-08-2024,20:40:28,0.103
19-08-2024,20:40:29,0.079
19-08-2024,20:40:30,0.066
19-08-2024,20:40:31,0.063
19-08-2024,20:40:32,0.061
19-08-2024,20:40:33,0.058
19-08-2024,20:40:34,0.058
19-08-2024,20:40:35,0.059
19-08-2024,20:40:36,0.057
