TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,009
Test Abbreviation:,TEST 3 LONCO_009
Start Date:,28-07-2024
Start Time:,00:31:33
Duration (dd:hh:mm:ss):,0:00:03:00
Log Interval (mm:ss):,00:01
Number of points:,188
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0,091
,Minimum:,0,077
,Time of Minimum:,00:34:29
,Date of Minimum:,28-07-2024
,Maximum:,0,104
,Time of Maximum:,00:31:57
,Date of Maximum:,28-07-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
28-07-2024,00:35:57,-0,019
28-07-2024,00:35:58,-0,019
28-07-2024,00:35:59,-0,019
28-07-2024,00:36:00,-0,019
28-07-2024,00:36:01,-0,020
28-07-2024,00:36:02,-0,020
28-07-2024,00:36:03,-0,019
28-07-2024,00:36:04,-0,019
28-07-2024,00:36:05,-0,019
28-07-2024,00:36:06,-0,019
28-07-2024,00:36:07,-0,019
28-07-2024,00:36:08,-0,018
28-07-2024,00:36:09,-0,019
28-07-2024,00:36:10,-0,020
28-07-2024,00:36:11,-0,020
28-07-2024,00:36:12,-0,019
28-07-2024,00:36:13,-0,018
28-07-2024,00:36:14,-0,020
28-07-2024,00:36:15,-0,020
28-07-2024,00:36:16,-0,020
28-07-2024,00:36:17,-0,019
28-07-2024,00:36:18,-0,019
28-07-2024,00:36:19,-0,019
28-07-2024,00:36:20,-0,018
28-07-2024,00:36:21,-0,017
28-07-2024,00:36:22,-0,017
28-07-2024,00:36:23,-0,019
28-07-2024,00:36:24,-0,017
28-07-2024,00:36:25,-0,017
28-07-2024,00:36:26,-0,019
28-07-2024,00:36:27,-0,018
28-07-2024,00:36:28,-0,019
28-07-2024,00:36:29,-0,018
28-07-2024,00:36:30,-0,019
28-07-2024,00:36:31,-0,018
28-07-2024,00:36:32,-0,018
28-07-2024,00:36:33,-0,019
28-07-2024,00:36:34,-0,019
28-07-2024,00:36:35,-0,018
28-07-2024,00:36:36,-0,017
28-07-2024,00:36:37,-0,018
28-07-2024,00:36:38,-0,019
28-07-2024,00:36:39,-0,019
28-07-2024,00:36:40,-0,019
28-07-2024,00:36:41,-0,019
28-07-2024,00:36:42,-0,019
28-07-2024,00:36:43,-0,019
28-07-2024,00:36:44,-0,019
28-07-2024,00:36:45,-0,018
28-07-2024,00:36:46,-0,018
28-07-2024,00:36:47,-0,018
28-07-2024,00:36:48,-0,019
28-07-2024,00:36:49,-0,019
28-07-2024,00:36:50,-0,019
28-07-2024,00:36:51,-0,020
28-07-2024,00:36:52,-0,019
28-07-2024,00:36:53,-0,018
28-07-2024,00:36:54,-0,019
28-07-2024,00:36:55,-0,017
28-07-2024,00:36:56,-0,017

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,012
