TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8532
Serial Number:,8532105203
Test ID:,001
Test Abbreviation:,TEST 3 LONCO_001
Start Date:,26-09-2024
Start Time:,20:56:04
Duration (dd:hh:mm:ss):,0:00:01:00
Log Interval (mm:ss):,00:01
Number of points:,64
Notes:,ERROR: FILTER, 

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.000
,Minimum:,-0.001
,Time of Minimum:,20:56:06
,Date of Minimum:,26-09-2024
,Maximum:,0.003
,Time of Maximum:,20:56:36
,Date of Maximum:,26-09-2024

Calibration,Sensor:,AEROSOL
,Cal. date,29-05-2014

Date,Time,AEROSOL
26-09-2024,21:32:45,0.295
26-09-2024,21:32:46,0.292
26-09-2024,21:32:47,0.286
26-09-2024,21:32:48,0.278
26-09-2024,21:32:49,0.281
26-09-2024,21:32:50,0.284
26-09-2024,21:32:51,0.280
26-09-2024,21:32:52,0.274
26-09-2024,21:32:53,0.283
26-09-2024,21:32:54,0.296
26-09-2024,21:32:55,0.282
26-09-2024,21:32:56,0.277
26-09-2024,21:32:57,0.271
26-09-2024,21:32:58,0.268
26-09-2024,21:32:59,0.271
26-09-2024,21:33:00,0.278
26-09-2024,21:33:01,0.298
26-09-2024,21:33:02,0.321
26-09-2024,21:33:03,0.317
26-09-2024,21:33:04,0.320
26-09-2024,21:33:05,0.300
26-09-2024,21:33:06,0.284
26-09-2024,21:33:07,0.297
26-09-2024,21:33:08,0.287
26-09-2024,21:33:09,0.257
26-09-2024,21:33:10,0.248
26-09-2024,21:33:11,0.233
26-09-2024,21:33:12,0.203
26-09-2024,21:33:13,0.167
26-09-2024,21:33:14,0.165
26-09-2024,21:33:15,0.149
26-09-2024,21:33:16,0.118
26-09-2024,21:33:17,0.102
26-09-2024,21:33:18,0.115
26-09-2024,21:33:19,0.130
26-09-2024,21:33:20,0.118
26-09-2024,21:33:21,0.115
26-09-2024,21:33:22,0.116
26-09-2024,21:33:23,0.113
26-09-2024,21:33:24,0.112
26-09-2024,21:33:25,0.104
26-09-2024,21:33:26,0.097
26-09-2024,21:33:27,0.098
26-09-2024,21:33:28,0.105
26-09-2024,21:33:29,0.105
26-09-2024,21:33:30,0.147
26-09-2024,21:33:31,0.166
26-09-2024,21:33:32,0.106
26-09-2024,21:33:33,0.110
26-09-2024,21:33:34,0.116
26-09-2024,21:33:35,0.122
26-09-2024,21:33:36,0.130
26-09-2024,21:33:37,0.115
