FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
240820;1700;;16;;
240820;1800;;71;;
240820;1900;;393;;
240820;2000;;67;;
240820;2100;;176;;
240820;2200;;207;;
240820;2300;;188;;
240821;0000;;131;;
240821;0100;;25;;
240821;0200;;16;;
240821;0300;;12;;
240821;0400;;11;;
240821;0500;;11;;
240821;0600;;10;;
240821;0700;;12;;
240821;0800;;16;;
240821;0900;;4;;
240821;1000;;8;;
240821;1100;;8;;
240821;1200;;9;;
240821;1300;;9;;
240821;1400;;10;;
240821;1500;;31;;
240821;1600;;23;;
240821;1700;;39;;
240821;1800;;38;;
240821;1900;;38;;
240821;2000;;44;;
240821;2100;;47;;
240821;2200;;66;;
240821;2300;;34;;
240822;0000;;20;;
240822;0100;;20;;
240822;0200;;6;;
240822;0300;;9;;
240822;0400;;8;;
240822;0500;;12;;
240822;0600;;8;;
240822;0700;;19;;
240822;0800;;22;;
240822;0900;;19;;
240822;1000;;22;;
240822;1100;;10;;
240822;1200;;25;;
240822;1300;;37;;
240822;1400;;23;;
240822;1500;;11;;
240822;1600;;16;;
240822;1700;;38;;
240822;1800;;58;;
240822;1900;;127;;
240822;2000;;64;;
240822;2100;;51;;
240822;2200;;62;;
240822;2300;;48;;
240823;0000;;37;;
240823;0100;;32;;
240823;0200;;28;;
240823;0300;;17;;
240823;0400;;26;;
240823;0500;;16;;
240823;0600;;34;;
240823;0700;;101;;
240823;0800;;82;;
240823;0900;;35;;
240823;1000;;12;;
240823;1100;;15;;
240823;1200;;5;;
240823;1300;;5;;
240823;1400;;12;;
240823;1500;;15;;
240823;1600;;17;;
240823;1700;;23;;
240823;1800;;100;;
240823;1900;;221;;
240823;2000;;253;;
240823;2100;;199;;
240823;2200;;197;;
240823;2300;;215;;
240824;0000;;190;;
240824;0100;;120;;
240824;0200;;103;;
240824;0300;;110;;
240824;0400;;81;;
240824;0500;;55;;
240824;0600;;53;;
240824;0700;;93;;
240824;0800;;102;;
240824;0900;;35;;
240824;1000;;8;;
240824;1100;;6;;
240824;1200;;9;;
240824;1300;;7;;
240824;1400;;13;;
240824;1500;;11;;
240824;1600;;10;;
240824;1700;;38;;
240824;1800;;62;;
240824;1900;;148;;
240824;2000;;55;;
240824;2100;;315;;
240824;2200;;317;;
240824;2300;;139;;
240825;0000;;167;;
240825;0100;;107;;
